Alexandria,2012-2013,23398068,158.75,196.25
Bedford,2012-2013,621438,100.69,124.47
Bristol,2012-2013,1406050,79.43,98.19
BuenaVista,2012-2013,323632,48.20,59.59
Charlottesville,2012-2013,5061943,112.31,138.84
Chesapeake,2012-2013,13760470,60.30,74.54
ColonialHeights,2012-2013,1698228,96.35,119.11
Covington,2012-2013,641369,99.90,123.50
Danville,2012-2013,4714975,108.64,134.31
Emporia,2012-2013,516426,87.06,107.62
Fairfax,2012-2013,1496189,63.65,78.69
FallsChurch,2012-2013,2992400,230.90,285.44
Franklin,2012-2013,915510,103.58,128.05
Fredericksburg,2012-2013,2452785,94.25,116.52
Galax,2012-2013,665701,92.77,114.68
Hampton,2012-2013,13823577,99.56,123.08
Harrisonburg,2012-2013,3930139,77.27,95.53
Hopewell,2012-2013,2400230,105.07,129.89
Lexington,2012-2013,359105,48.82,60.35
Lynchburg,2012-2013,5122168,66.35,82.02
Manassas,2012-2013,4169977,104.51,129.19
ManassasPark,2012-2013,1346772,90.77,112.21
Martinsville,2012-2013,1178763,84.75,104.78
NewportNews,2012-2013,16882390,92.09,113.84
Norfolk,2012-2013,15852985,64.49,79.73
Norton,2012-2013,585998,139.76,172.77
Petersburg,2012-2013,2904103,87.71,108.43
Poquoson,2012-2013,1544810,125.69,155.38
Portsmouth,2012-2013,6936294,71.18,87.99
Radford,2012-2013,996213,59.60,73.68
Richmond,2012-2013,13730031,65.75,81.28
Roanoke,2012-2013,13163818,133.45,164.98
Salem,2012-2013,2689814,106.46,131.61
Staunton,2012-2013,1961181,80.01,98.91
Suffolk,2012-2013,6921153,80.05,98.96
VirginiaBeach,2012-2013,21765728,48.64,60.13
Waynesboro,2012-2013,1956791,91.53,113.16
Williamsburg,2012-2013,679848,46.88,57.95
Winchester,2012-2013,1959746,72.03,89.04
Accomack,2012-2013,2486025,74.16,99.25
Albemarle,2012-2013,8669918,85.35,114.24
Alleghany,2012-2013,1984448,124.52,166.65
Amelia,2012-2013,1090803,85.75,114.77
Amherst,2012-2013,1938825,59.60,79.76
Appomattox,2012-2013,958491,63.12,84.48
Arlington,2012-2013,21766723,98.69,132.08
Augusta,2012-2013,3937350,53.34,71.39
Bath,2012-2013,390315,81.78,109.45
Bedford,2012-2013,3238782,46.51,62.25
Bland,2012-2013,511765,75.63,101.22
Botetourt,2012-2013,2181972,65.54,87.71
