Alexandria,2012-2013,9742964,66.10,92.05,Transportation
Bedford,2012-2013,601430,97.44,135.69,Transportation
Bristol,2012-2013,719520,40.65,56.60,Transportation
Buena Vista,2012-2013,313707,46.72,65.06,Transportation
Charlottesville,2012-2013,2542678,56.41,78.55,Transportation
Chesapeake,2012-2013,24413037,106.98,148.96,Transportation
Colonial Heights,2012-2013,828163,46.99,65.43,Transportation
Covington,2012-2013,332094,51.73,72.03,Transportation
Danville,2012-2013,2738909,63.11,87.88,Transportation
Emporia,2012-2013,814200,137.26,191.12,Transportation
Fairfax,2012-2013,2290625,97.45,135.70,Transportation
Falls Church,2012-2013,1335180,103.02,143.46,Transportation
Franklin,2012-2013,540528,61.15,85.15,Transportation
Fredericksburg,2012-2013,1508072,57.95,80.69,Transportation
Galax,2012-2013,410501,57.20,79.66,Transportation
Hampton,2012-2013,10153187,73.12,101.82,Transportation
Harrisonburg,2012-2013,2885464,56.73,79.00,Transportation
Hopewell,2012-2013,1141369,49.96,69.57,Transportation
Lexington,2012-2013,-,-,-,Transportation
Lynchburg,2012-2013,5302069,68.68,95.63,Transportation
Manassas,2012-2013,3699482,92.71,129.10,Transportation
Manassas Park,2012-2013,1112079,74.95,104.36,Transportation
Martinsville,2012-2013,933291,67.10,93.44,Transportation
Newport News,2012-2013,17555957,95.76,133.34,Transportation
Norfolk,2012-2013,13435433,54.66,76.11,Transportation
Norton,2012-2013,152713,36.42,50.72,Transportation
Petersburg,2012-2013,1887507,57.00,79.38,Transportation
Poquoson,2012-2013,816454,66.43,92.50,Transportation
Portsmouth,2012-2013,5579797,57.26,79.73,Transportation
Radford,2012-2013,313708,18.77,26.14,Transportation
Richmond,2012-2013,12149807,58.18,81.01,Transportation
Roanoke,2012-2013,9669554,98.03,136.50,Transportation
Salem,2012-2013,1283001,50.78,70.71,Transportation
Staunton,2012-2013,856326,34.93,48.65,Transportation
Suffolk,2012-2013,7955990,92.02,128.13,Transportation
Virginia Beach,2012-2013,30899605,69.05,96.15,Transportation
Waynesboro,2012-2013,1195158,55.91,77.85,Transportation
Williamsburg,2012-2013,628589,43.34,60.35,Transportation
Winchester,2012-2013,1954527,71.84,100.03,Transportation
Accomack,2012-2013,2857582,85.24,78.41,Transportation
Albemarle,2012-2013,8710017,85.75,78.88,Transportation
Alleghany,2012-2013,1959264,122.94,113.09,Transportation
Amelia,2012-2013,1393413,109.55,100.77,Transportation
Amherst,2012-2013,3021332,92.87,85.43,Transportation
