Alexandria,2012-2013,7649018,51.90,72.30,Food Services
Bedford,2012-2013,-,-,-,Food Services
Bristol,2012-2013,1306014,73.78,102.79,Food Services
Buena Vista,2012-2013,400890,59.71,83.19,Food Services
Charlottesville,2012-2013,2343659,52.00,72.44,Food Services
Chesapeake,2012-2013,12747906,55.86,77.83,Food Services
Colonial Heights,2012-2013,1060445,60.16,83.82,Food Services
Covington,2012-2013,595215,92.71,129.17,Food Services
Danville,2012-2013,3860264,88.95,123.92,Food Services
Emporia,2012-2013,619884,104.50,145.59,Food Services
Fairfax,2012-2013,1694798,72.10,100.46,Food Services
Falls Church,2012-2013,2199286,169.70,236.43,Food Services
Franklin,2012-2013,1369883,154.98,215.93,Food Services
Fredericksburg,2012-2013,1629223,62.60,87.22,Food Services
Galax,2012-2013,786115,109.55,152.63,Food Services
Hampton,2012-2013,9698169,69.85,97.31,Food Services
Harrisonburg,2012-2013,3047223,59.91,83.47,Food Services
Hopewell,2012-2013,2409189,105.46,146.93,Food Services
Lexington,2012-2013,174352,23.70,33.02,Food Services
Lynchburg,2012-2013,4014570,52.00,72.45,Food Services
Manassas,2012-2013,3298507,82.67,115.17,Food Services
Manassas Park,2012-2013,2112723,142.39,198.38,Food Services
Martinsville,2012-2013,1476828,106.19,147.94,Food Services
Newport News,2012-2013,15237387,83.11,115.80,Food Services
Norfolk,2012-2013,29649525,120.62,168.06,Food Services
Norton,2012-2013,362855,86.54,120.57,Food Services
Petersburg,2012-2013,2241412,67.69,94.31,Food Services
Poquoson,2012-2013,1737216,141.34,196.92,Food Services
Portsmouth,2012-2013,7748522,79.51,110.78,Food Services
Radford,2012-2013,669239,40.04,55.79,Food Services
Richmond,2012-2013,11850394,56.75,79.06,Food Services
Roanoke,2012-2013,6919898,70.15,97.74,Food Services
Salem,2012-2013,1616531,63.98,89.14,Food Services
Staunton,2012-2013,1294239,52.80,73.56,Food Services
Suffolk,2012-2013,6687318,77.34,107.76,Food Services
Virginia Beach,2012-2013,26503047,59.23,82.52,Food Services
Waynesboro,2012-2013,1298415,60.74,84.62,Food Services
Williamsburg,2012-2013,351356,24.23,33.75,Food Services
Winchester,2012-2013,1932309,71.02,98.95,Food Services
Accomack,2012-2013,2477091,73.89,92.59,Food Services
Albemarle,2012-2013,4788085,47.14,59.07,Food Services
Alleghany,2012-2013,1183049,74.23,93.02,Food Services
Amelia,2012-2013,664682,52.25,65.48,Food Services
Amherst,2012-2013,2255720,69.34,86.88,Food Services
Appomattox,2012-2013,987329,65.02,81.47,Food Services
Arlington,2012-2013,21580804,97.84,122.60,Food Services
Augusta,2012-2013,4753923,64.40,80.70,Food Services
Bath,2012-2013,599262,125.55,157.32,Food Services
Bedford,2012-2013,4150289,59.60,74.68,Food Services
Bland,2012-2013,433881,64.12,80.34,Food Services
Botetourt,2012-2013,2148898,64.55,80.88,Food Services
Brunswick,2012-2013,1174958,67.55,84.64,Food Services
Buchanan,2012-2013,2228118,92.88,116.38,Food Services
Buckingham,2012-2013,1181873,68.33,85.62,Food Services
Campbell,2012-2013,3809366,69.22,86.74,Food Services
Caroline,2012-2013,1965043,67.49,84.57,Food Services
Carroll,2012-2013,2563419,85.52,107.15,Food Services
Charles City,2012-2013,423100,58.93,73.84,Food Services
Charlotte,2012-2013,1140229,90.78,113.75,Food Services
Chesterfield,2012-2013,19854953,61.59,77.17,Food Services
Clarke,2012-2013,822389,57.61,72.18,Food Services
Craig,2012-2013,383711,72.98,91.44,Food Services
Culpeper,2012-2013,3513159,73.60,92.22,Food Services
Cumberland,2012-2013,855432,84.32,105.66,Food Services
Dickenson,2012-2013,1663797,105.66,132.39,Food Services
Dinwiddie,2012-2013,1788299,63.16,79.14,Food Services
Essex,2012-2013,713272,63.67,79.78,Food Services
Fairfax,2012-2013,96232414,86.51,108.40,Food Services
Fauquier,2012-2013,4997285,75.57,94.69,Food Services
Floyd,2012-2013,1018946,65.56,82.15,Food Services
Fluvanna,2012-2013,1478350,56.79,71.16,Food Services
Franklin,2012-2013,4026194,71.11,89.11,Food Services
Frederick,2012-2013,5328539,66.51,83.34,Food Services
Giles,2012-2013,1498127,85.68,107.35,Food Services
Gloucester,2012-2013,2145257,58.02,72.70,Food Services
Goochland,2012-2013,960029,45.35,56.83,Food Services
Grayson,2012-2013,1193795,77.61,97.25,Food Services
Greene,2012-2013,1197575,63.51,79.58,Food Services
Greensville,2012-2013,620629,51.14,64.08,Food Services
Halifax,2012-2013,3065499,84.58,105.99,Food Services
Hanover,2012-2013,7839546,77.37,96.94,Food Services
Henrico,2012-2013,18444193,58.58,73.40,Food Services
Henry,2012-2013,4353385,80.78,101.22,Food Services
Highland,2012-2013,185669,81.15,101.68,Food Services
Isle of Wight,2012-2013,4348351,120.19,150.60,Food Services
James City,2012-2013,3856500,55.45,69.48,Food Services
King and Queen,2012-2013,419586,56.49,70.79,Food Services
King George,2012-2013,1411863,58.96,73.88,Food Services
King William,2012-2013,998835,62.37,78.15,Food Services
Lancaster,2012-2013,583939,51.41,64.41,Food Services
Lee,2012-2013,2230532,86.77,108.73,Food Services
Loudoun,2012-2013,25446810,76.36,95.68,Food Services
Louisa,2012-2013,2176867,64.58,80.92,Food Services
Lunenburg,2012-2013,857679,66.39,83.19,Food Services
Madison,2012-2013,933512,69.29,86.83,Food Services
Mathews,2012-2013,757372,85.26,106.83,Food Services
Mecklenburg,2012-2013,2076551,64.54,80.87,Food Services
Middlesex,2012-2013,492178,44.71,56.02,Food Services
Montgomery,2012-2013,3923985,41.03,51.42,Food Services
Nelson,2012-2013,1088332,72.18,90.44,Food Services
New Kent,2012-2013,913096,47.42,59.41,Food Services
Northampton,2012-2013,798489,64.18,80.42,Food Services
Northumberland,2012-2013,592594,47.54,59.56,Food Services
Nottoway,2012-2013,1013385,63.92,80.09,Food Services
Orange,2012-2013,1859195,54.68,68.52,Food Services
Page,2012-2013,1787455,73.82,92.49,Food Services
Patrick,2012-2013,1559576,83.44,104.55,Food Services
Pittsylvania,2012-2013,5347739,84.72,106.15,Food Services
Powhatan,2012-2013,1372652,48.34,60.57,Food Services
Prince Edward,2012-2013,1298839,55.55,69.61,Food Services
Prince George,2012-2013,2811558,78.28,98.09,Food Services
Prince William,2012-2013,43742000,103.86,130.14,Food Services
Pulaski,2012-2013,2588075,74.80,93.73,Food Services
Rappahannock,2012-2013,503019,67.46,84.52,Food Services
Richmond,2012-2013,512541,55.01,68.93,Food Services
Roanoke,2012-2013,8926435,95.72,119.94,Food Services
Rockbridge,2012-2013,1274748,57.71,72.31,Food Services
Rockingham,2012-2013,5729412,73.88,92.57,Food Services
Russell,2012-2013,1943659,67.28,84.30,Food Services
Scott,2012-2013,6806320,290.31,363.77,Food Services
Shenandoah,2012-2013,2238760,52.29,65.52,Food Services
Smyth,2012-2013,2428136,75.61,94.75,Food Services
Southampton,2012-2013,1271154,68.06,85.28,Food Services
Spotsylvania,2012-2013,8920094,71.63,89.76,Food Services
Stafford,2012-2013,27383600,206.33,258.53,Food Services
Surry,2012-2013,615295,88.83,111.30,Food Services
Sussex,2012-2013,964421,79.45,99.55,Food Services
Tazewell,2012-2013,3395907,75.98,95.20,Food Services
Warren,2012-2013,2437268,64.01,80.20,Food Services
Washington,2012-2013,6012560,108.38,135.80,Food Services
Westmoreland,2012-2013,922526,52.11,65.30,Food Services
Wise,2012-2013,2594826,63.60,79.70,Food Services
Wythe,2012-2013,1864923,63.08,79.04,Food Services
York,2012-2013,3765095,56.68,71.02,Food Services
Alexandria,2011-2012,6541211,45.59,63.79,Food Services
Bedford,2011-2012,-,-,-,Food Services
Bristol,2011-2012,1271208,71.50,100.02,Food Services
Buena Vista,2011-2012,446948,64.95,90.87,Food Services
Charlottesville,2011-2012,2628769,59.11,82.70,Food Services
Chesapeake,2011-2012,11984239,53.05,74.22,Food Services
Colonial Heights,2011-2012,1083048,61.69,86.30,Food Services
Covington,2011-2012,507723,83.34,116.59,Food Services
Danville,2011-2012,3540401,81.70,114.30,Food Services
Emporia,2011-2012,642233,108.01,151.10,Food Services
Fairfax,2011-2012,1587432,69.42,97.12,Food Services
Falls Church,2011-2012,2203660,175.35,245.31,Food Services
Franklin,2011-2012,1471883,169.57,237.22,Food Services
Fredericksburg,2011-2012,1532131,60.12,84.11,Food Services
Galax,2011-2012,1244115,174.61,244.28,Food Services
