Alexandria,2012-2013,9742964,66.10,92.05
Bedford,2012-2013,601430,97.44,135.69
Bristol,2012-2013,719520,40.65,56.60
BuenaVista,2012-2013,313707,46.72,65.06
Charlottesville,2012-2013,2542678,56.41,78.55
Chesapeake,2012-2013,24413037,106.98,148.96
ColonialHeights,2012-2013,828163,46.99,65.43
Covington,2012-2013,332094,51.73,72.03
Danville,2012-2013,2738909,63.11,87.88
Emporia,2012-2013,814200,137.26,191.12
Fairfax,2012-2013,2290625,97.45,135.70
FallsChurch,2012-2013,1335180,103.02,143.46
Franklin,2012-2013,540528,61.15,85.15
Fredericksburg,2012-2013,1508072,57.95,80.69
Galax,2012-2013,410501,57.20,79.66
Hampton,2012-2013,10153187,73.12,101.82
Harrisonburg,2012-2013,2885464,56.73,79.00
Hopewell,2012-2013,1141369,49.96,69.57
Lexington,2012-2013,-1,-1,-1
Lynchburg,2012-2013,5302069,68.68,95.63
Manassas,2012-2013,3699482,92.71,129.10
ManassasPark,2012-2013,1112079,74.95,104.36
Martinsville,2012-2013,933291,67.10,93.44
NewportNews,2012-2013,17555957,95.76,133.34
Norfolk,2012-2013,13435433,54.66,76.11
Norton,2012-2013,152713,36.42,50.72
Petersburg,2012-2013,1887507,57.00,79.38
Poquoson,2012-2013,816454,66.43,92.50
Portsmouth,2012-2013,5579797,57.26,79.73
Radford,2012-2013,313708,18.77,26.14
Richmond,2012-2013,12149807,58.18,81.01
Roanoke,2012-2013,9669554,98.03,136.50
Salem,2012-2013,1283001,50.78,70.71
Staunton,2012-2013,856326,34.93,48.65
Suffolk,2012-2013,7955990,92.02,128.13
VirginiaBeach,2012-2013,30899605,69.05,96.15
Waynesboro,2012-2013,1195158,55.91,77.85
Williamsburg,2012-2013,628589,43.34,60.35
Winchester,2012-2013,1954527,71.84,100.03
Accomack,2012-2013,2857582,85.24,78.41
Albemarle,2012-2013,8710017,85.75,78.88
Alleghany,2012-2013,1959264,122.94,113.09
Amelia,2012-2013,1393413,109.55,100.77
Amherst,2012-2013,3021332,92.87,85.43
Appomattox,2012-2013,1342109,88.38,81.30
Arlington,2012-2013,15252609,69.15,63.61
Augusta,2012-2013,6269533,84.94,78.13
Bath,2012-2013,925929,193.99,178.45
Bedford,2012-2013,6356144,91.28,83.96
Bland,2012-2013,645348,95.37,87.72
Botetourt,2012-2013,3104286,93.24,85.77
Brunswick,2012-2013,1893327,108.84,100.12
Buchanan,2012-2013,2518592,104.99,96.57
Buckingham,2012-2013,1992795,115.22,105.98
Campbell,2012-2013,5754534,104.57,96.19
Caroline,2012-2013,2867563,98.49,90.60
Carroll,2012-2013,2901158,96.78,89.03
CharlesCity,2012-2013,802953,111.83,102.87
Charlotte,2012-2013,1897385,151.07,138.96
Chesterfield,2012-2013,30911037,95.88,88.20
Clarke,2012-2013,1234724,86.49,79.56
Craig,2012-2013,438284,83.36,76.68
Culpeper,2012-2013,3987880,83.55,76.85
Cumberland,2012-2013,1280115,126.18,116.07
Dickenson,2012-2013,1884666,119.68,110.09
Dinwiddie,2012-2013,2897677,102.34,94.14
Essex,2012-2013,1118328,99.83,91.83
Fairfax,2012-2013,127258010,114.41,105.24
Fauquier,2012-2013,9353599,141.44,130.11
Floyd,2012-2013,1670181,107.46,98.85
Fluvanna,2012-2013,2377175,91.31,84.00
Franklin,2012-2013,6732123,118.91,109.38
Frederick,2012-2013,8045868,100.43,92.38
Giles,2012-2013,1252140,71.61,65.87
Gloucester,2012-2013,4035748,109.15,100.40
Goochland,2012-2013,2097494,99.08,91.14
Grayson,2012-2013,1755242,114.12,104.97
Greene,2012-2013,2066854,109.61,100.83
Greensville,2012-2013,815177,67.17,61.79
Halifax,2012-2013,5327999,147.01,135.23
Hanover,2012-2013,9794980,96.67,88.92
Henrico,2012-2013,29507529,93.71,86.20
Henry,2012-2013,5010262,92.97,85.52
Highland,2012-2013,261447,114.27,105.11
IsleofWight,2012-2013,3266223,90.28,83.04
JamesCity,2012-2013,6899418,99.21,91.26
King&Queen,2012-2013,957674,128.94,118.61
KingGeorge,2012-2013,2466375,103.00,94.75
KingWilliam,2012-2013,1898217,118.53,109.04
Lancaster,2012-2013,1065784,93.83,86.31
Lee,2012-2013,1973934,76.79,70.64
Loudoun,2012-2013,61130465,183.44,168.74
Louisa,2012-2013,4556489,135.18,124.35
Lunenburg,2012-2013,1075126,83.22,76.55
Madison,2012-2013,1489082,110.53,101.67
Mathews,2012-2013,861301,96.96,89.19
Mecklenburg,2012-2013,2867648,89.13,81.99
Middlesex,2012-2013,1017595,92.43,85.03
Montgomery,2012-2013,4612729,48.24,44.37
Nelson,2012-2013,2177582,144.42,132.85
NewKent,2012-2013,2717879,141.14,129.83
Northampton,2012-2013,1813719,145.79,134.10
Northumberland,2012-2013,1206410,96.78,89.02
Nottoway,2012-2013,1307817,82.49,75.88
Orange,2012-2013,4158162,122.30,112.50
Page,2012-2013,2218313,91.61,84.27
Patrick,2012-2013,1980680,105.97,97.48
Pittsylvania,2012-2013,6716905,106.41,97.88
Powhatan,2012-2013,3847308,135.50,124.64
PrinceEdward,2012-2013,1575426,67.38,61.98
PrinceGeorge,2012-2013,4139869,115.27,106.03
PrinceWilliam,2012-2013,56494000,134.14,123.39
Pulaski,2012-2013,2255275,65.18,59.96
Rappahannock,2012-2013,990339,132.81,122.16
Richmond,2012-2013,759792,81.55,75.01
Roanoke,2012-2013,6424269,68.89,63.37
Rockbridge,2012-2013,2014463,91.19,83.89
Rockingham,2012-2013,9059062,116.81,107.45
Russell,2012-2013,2611543,90.40,83.15
Scott,2012-2013,1770326,75.51,69.46
Shenandoah,2012-2013,4330380,101.15,93.04
Smyth,2012-2013,2663036,82.93,76.28
Southampton,2012-2013,2876447,154.00,141.66
Spotsylvania,2012-2013,18303681,146.99,135.21
Stafford,2012-2013,13419206,101.11,93.01
Surry,2012-2013,1016822,146.79,135.03
Sussex,2012-2013,2000005,164.76,151.56
Tazewell,2012-2013,3447651,77.14,70.96
Warren,2012-2013,2268999,59.59,54.81
Washington,2012-2013,5220110,94.09,86.55
Westmoreland,2012-2013,2151298,121.52,111.78
Wise,2012-2013,3053843,74.86,68.86
Wythe,2012-2013,2663114,90.08,82.86
York,2012-2013,7000548,105.39,96.94
Alexandria,2011-2012,9090412,63.36,84.65
Bedford,2011-2012,532542,86.78,115.92
Bristol,2011-2012,637858,35.88,47.93
BuenaVista,2011-2012,349755,50.83,67.90
Charlottesville,2011-2012,2509327,56.43,75.38
Chesapeake,2011-2012,25739374,113.94,152.22
